CUSTNO	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
15	0	P	47.234018	-1.535018	0
17	0	P	47.214782	-1.528867	0
20	0	P	47.235291	-1.546796	0
30	0	P	47.229754	-1.572034	0
34	0	P	47.205724	-1.548747	0
36	0	P	47.221261	-1.585622	0
41	0	P	47.233521	-1.565815	0
64	0	P	47.20888	-1.5685	0
73	0	P	47.225871	-1.523495	0
81	0	P	47.22829	-1.578915	0
84	0	P	47.212329	-1.579016	0
85	0	P	47.214044	-1.585142	0
3	40	S	47.214248	-1.557261	10800
6	20	S	47.2211	-1.555272	18000
9	40	S	47.216294	-1.551915	7200
12	50	S	47.219669	-1.55567	0
13	50	S	47.21789	-1.542601	10800
14	30	S	47.229771	-1.554525	3600
18	10	S	47.216174	-1.561164	19800
19	10	S	47.213795	-1.556156	7200
21	20	S	47.219554	-1.534063	5400
22	40	S	47.224999	-1.529539	23400
24	30	S	47.221644	-1.559282	3600
25	40	S	47.217716	-1.55174	1800
31	10	S	47.215738	-1.558752	14400
35	50	S	47.216722	-1.555231	7200
45	30	S	47.222295	-1.530817	12600
47	40	S	47.21409	-1.553507	10800
48	30	S	47.214954	-1.574183	25200
51	50	S	47.220704	-1.548346	21600
52	30	S	47.220847	-1.569954	5400
55	10	S	47.225174	-1.529721	9000
57	20	S	47.213879	-1.546223	23400
61	10	S	47.227304	-1.542288	19800
62	10	S	47.213511	-1.564416	3600
63	40	S	47.224371	-1.577142	18000
65	40	S	47.210957	-1.551387	25200
67	50	S	47.21398	-1.553518	7200
68	20	S	47.214683	-1.567219	1800
69	30	S	47.213179	-1.561797	16200
71	40	S	47.22168	-1.559303	3600
74	30	S	47.214815	-1.574247	3600
75	30	S	47.223874	-1.571706	9000
76	30	S	47.220906	-1.569911	3600
80	10	S	47.21602	-1.579557	25200
2	20	LS	47.256911	-1.513408	23400
7	60	LS	47.249798	-1.51467	16200
10	40	LS	47.2396	-1.518566	18000
11	50	LS	47.235282	-1.50217	16200
16	60	LS	47.259222	-1.518944	3600
23	20	LS	47.222037	-1.596854	7200
26	10	LS	47.241135	-1.572605	9000
27	60	LS	47.252345	-1.567387	23400
28	40	LS	47.194467	-1.528971	21600
32	80	LS	47.248309	-1.576958	23400
33	50	LS	47.214668	-1.567069	10800
37	60	LS	47.21401	-1.585108	14400
38	50	LS	47.20822	-1.529422	16200
39	30	LS	47.216273	-1.599214	23400
40	50	LS	47.202134	-1.544655	9000
42	100	LS	47.236236	-1.563558	16200
44	20	LS	47.230202	-1.52356	1800
46	90	LS	47.221651	-1.559239	1800
49	60	LS	47.227355	-1.542256	21600
50	80	LS	47.252381	-1.567387	18000
53	90	LS	47.234715	-1.541116	1800
56	80	LS	47.24462	-1.533591	25200
59	20	LS	47.214017	-1.58514	3600
60	50	LS	47.248587	-1.530053	1800
66	80	LS	47.220703	-1.548304	16200
70	10	LS	47.242906	-1.524187	18000
77	100	LS	47.239172	-1.570886	16200
78	100	LS	47.223438	-1.598438	1800
79	90	LS	47.232873	-1.576907	25200
82	40	LS	47.228217	-1.578851	12600
83	30	LS	47.209999	-1.595902	5400
86	40	LS	47.207237	-1.558786	18000
87	90	LS	47.240526	-1.591229	23400
91	90	LS	47.236071	-1.584305	14400
92	80	LS	47.228719	-1.604925	14400
93	60	LS	47.232531	-1.591553	21600
95	100	LS	47.207209	-1.505761	3600
96	90	LS	47.209355	-1.611343	21600
97	60	LS	47.235269	-1.582865	23400
98	10	LS	47.22216	-1.606121	23400
